column,name,dtype,semantic,missing_pct,numeric_summary,categorical_summary
Unnamed: 0,Unnamed: 0,int64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 8885.5, 'median': 8885.5, 'std': 5130.478827555962, 'var': 26321813.0, 'min': 0.0, 'p10': 1777.1000000000001, 'p25': 4442.75, 'p50': 8885.5, 'p75': 13328.25, 'p90': 15993.9, 'max': 17771.0, 'skew': 0.0, 'kurtosis': -1.2000000000000004, 'iqr': 8885.5, 'mad': 4443.0, 'outlier_count_iqr': 0}",
mp,mp,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 241.5642583839748, 'median': 240.0, 'std': 7.002952089094818, 'var': 49.04133796215748, 'min': 240.0, 'p10': 240.0, 'p25': 240.0, 'p50': 240.0, 'p75': 240.0, 'p90': 240.0, 'max': 340.0, 'skew': 5.5149138685912265, 'kurtosis': 40.04190975278169, 'iqr': 0.0, 'mad': 0.0, 'outlier_count_iqr': 970}",
mp.1,mp.1,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 241.5642583839748, 'median': 240.0, 'std': 7.002952089094818, 'var': 49.04133796215748, 'min': 240.0, 'p10': 240.0, 'p25': 240.0, 'p50': 240.0, 'p75': 240.0, 'p90': 240.0, 'max': 340.0, 'skew': 5.5149138685912265, 'kurtosis': 40.04190975278169, 'iqr': 0.0, 'mad': 0.0, 'outlier_count_iqr': 970}",
fg,fg,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 39.95481656538375, 'median': 40.0, 'std': 5.225685501949069, 'var': 27.307788965280693, 'min': 19.0, 'p10': 33.0, 'p25': 36.0, 'p50': 40.0, 'p75': 43.0, 'p90': 47.0, 'max': 63.0, 'skew': 0.1408287940761954, 'kurtosis': 0.044811809866934116, 'iqr': 7.0, 'mad': 3.0, 'outlier_count_iqr': 147}",
fga,fga,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 87.02053792482558, 'median': 87.0, 'std': 7.233959701240504, 'var': 52.33017295917161, 'min': 60.0, 'p10': 78.0, 'p25': 82.0, 'p50': 87.0, 'p75': 92.0, 'p90': 96.0, 'max': 128.0, 'skew': 0.25244842407472146, 'kurtosis': 0.5174198189738264, 'iqr': 10.0, 'mad': 5.0, 'outlier_count_iqr': 123}",
fg%,fg%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 0.46004929101958136, 'median': 0.459, 'std': 0.05465586178801506, 'var': 0.0029872632277906054, 'min': 0.269, 'p10': 0.391, 'p25': 0.422, 'p50': 0.459, 'p75': 0.495, 'p90': 0.532, 'max': 0.687, 'skew': 0.1110135619895544, 'kurtosis': -0.045145896469746205, 'iqr': 0.07300000000000001, 'mad': 0.03700000000000003, 'outlier_count_iqr': 134}",
3p,3p,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 11.022901192887689, 'median': 11.0, 'std': 3.9619034332771665, 'var': 15.6966788146134, 'min': 0.0, 'p10': 6.0, 'p25': 8.0, 'p50': 11.0, 'p75': 14.0, 'p90': 16.0, 'max': 29.0, 'skew': 0.3848019085781514, 'kurtosis': 0.0637791759928712, 'iqr': 6.0, 'mad': 3.0, 'outlier_count_iqr': 48}",
3pa,3pa,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 30.80092279990997, 'median': 31.0, 'std': 7.905324600931381, 'var': 62.494157046090905, 'min': 4.0, 'p10': 21.0, 'p25': 25.0, 'p50': 31.0, 'p75': 36.0, 'p90': 41.0, 'max': 70.0, 'skew': 0.19028546558705353, 'kurtosis': 0.0038348164335206825, 'iqr': 11.0, 'mad': 5.0, 'outlier_count_iqr': 101}",
3p%,3p%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 0.356934785055143, 'median': 0.355, 'std': 0.08974427352397484, 'var': 0.00805403463034601, 'min': 0.0, 'p10': 0.242, 'p25': 0.297, 'p50': 0.355, 'p75': 0.417, 'p90': 0.474, 'max': 0.842, 'skew': 0.13647719098242292, 'kurtosis': 0.23055758992446096, 'iqr': 0.12, 'mad': 0.059, 'outlier_count_iqr': 159}",
ft,ft,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 17.41571010578438, 'median': 17.0, 'std': 5.9698883036001975, 'var': 35.63956635746244, 'min': 1.0, 'p10': 10.0, 'p25': 13.0, 'p50': 17.0, 'p75': 21.0, 'p90': 25.0, 'max': 44.0, 'skew': 0.3862004428353066, 'kurtosis': 0.061234287234740226, 'iqr': 8.0, 'mad': 4.0, 'outlier_count_iqr': 124}",
fta,fta,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 22.62727886563133, 'median': 22.0, 'std': 7.274001406437858, 'var': 52.91109646085994, 'min': 1.0, 'p10': 14.0, 'p25': 17.0, 'p50': 22.0, 'p75': 27.0, 'p90': 32.0, 'max': 64.0, 'skew': 0.38665360844993607, 'kurtosis': 0.19754302930747913, 'iqr': 10.0, 'mad': 5.0, 'outlier_count_iqr': 124}",
